Node_ID EB_TX EACK_TX DIO_TX DIS_TX DAO_TX DAO_ACK_TX CoAP_TX
6 3182 760 96 0 93 0 1533
7 3219 760 96 0 93 0 1533
8 3219 3420 96 0 93 0 22104
9 3219 2660 96 0 94 68 12301
10 3145 380 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3182 8740 96 0 0 51 37251
2 3182 1520 96 0 94 60 6864
3 3145 1900 96 0 102 68 6544
4 3182 760 96 0 93 0 1460
5 3182 7980 96 0 94 60 48894
6 3182 760 96 0 93 0 1533
7 3219 760 96 0 93 0 1533
8 3182 3420 96 0 93 0 22104
9 3219 2660 96 0 94 68 12301
10 3145 380 96 0 85 0 1533
0 0 0 0 0 0 0 0
1 3219 8740 96 0 0 51 37169
2 3182 1539 96 0 94 60 6701
3 3145 1900 96 0 102 68 6544
4 3182 760 96 0 93 0 1460
5 3182 7980 96 0 94 60 48894
6 3145 760 96 0 93 0 1533
7 3219 760 96 0 93 0 1533
8 3219 3420 96 0 93 0 22104
9 3219 2660 96 0 94 68 12337
10 3182 380 96 0 85 0 1533
0 0 0 0 0 0 0 0
1 3219 8797 96 0 0 196 37291
2 3182 1539 96 0 94 60 6811
3 3182 1900 96 0 102 68 6418
4 3182 760 96 0 93 0 1460
5 3182 7999 96 0 94 60 49140
6 3182 741 96 0 93 0 1533
7 3182 760 96 0 93 0 1533
8 3219 3420 96 0 93 0 22225
9 3219 2698 96 0 94 188 12211
10 3145 380 96 0 85 0 1533
0 0 0 0 0 0 0 0
1 3219 8816 96 0 0 376 37039
2 3219 1558 96 0 179 60 6811
3 3182 1881 96 0 195 68 6336
4 3219 760 96 0 93 0 1460
5 3182 8018 96 0 179 60 49050
6 3145 741 96 0 93 0 1533
7 3219 779 96 0 93 0 1533
8 3182 3439 96 0 93 0 22225
9 3219 2679 96 0 273 248 12129
10 3182 399 96 0 85 0 1533
0 0 0 0 0 0 0 0
1 3219 8873 96 0 0 486 37134
2 3182 1577 96 0 179 120 6811
3 3182 1919 96 0 195 68 6336
4 3182 779 96 0 93 0 1460
5 3182 8056 96 0 273 120 48920
6 3145 760 96 0 93 0 1533
7 3219 779 96 0 93 0 1533
8 3182 3439 96 0 93 0 22104
9 3219 2717 96 0 273 248 12275
10 3182 399 96 0 85 0 1533
0 0 0 0 0 0 0 0
1 3219 8873 96 0 0 486 37460
